epoch,lr-Adam,step,test_loss,test_r2,train_loss_epoch,train_loss_step,val_loss
,0.0001,0,,,,,
0,,49,,,,0.0026609166525304317,
0,,99,,,,0.0024131913669407368,
0,,149,,,,0.0017020547529682517,
0,,199,,,,0.002718990435823798,
0,,249,,,,0.005305641330778599,
0,,299,,,,0.002474068198353052,
0,,349,,,,0.002829170087352395,
0,,399,,,,0.0032752598635852337,
0,,449,,,,0.002398185897618532,
0,,499,,,,0.003897510003298521,
0,,549,,,,0.00321387080475688,
0,,562,,,,,0.002961092861369252
0,,562,,,0.002795021515339613,,
,0.0001,563,,,,,
1,,599,,,,0.002341681160032749,
1,,649,,,,0.0016163703985512257,
1,,699,,,,0.002895553130656481,
1,,749,,,,0.003966575488448143,
1,,799,,,,0.0030935718677937984,
1,,849,,,,0.0018640096532180905,
1,,899,,,,0.0015953986439853907,
1,,949,,,,0.0023519762326031923,
1,,999,,,,0.0024035386741161346,
1,,1049,,,,0.002167430007830262,
1,,1099,,,,0.002129320055246353,
1,,1125,,,,,0.0027848409954458475
1,,1125,,,0.0025002481415867805,,
,0.0001,1126,,,,,
2,,1149,,,,0.0018889731727540493,
2,,1199,,,,0.0023500260431319475,
2,,1249,,,,0.0024915537796914577,
2,,1299,,,,0.0021293889731168747,
2,,1349,,,,0.002787915989756584,
2,,1399,,,,0.0021907882764935493,
2,,1449,,,,0.002130047418177128,
2,,1499,,,,0.0022223033010959625,
2,,1549,,,,0.0017881500534713268,
2,,1599,,,,0.002563192043453455,
2,,1649,,,,0.0024422493297606707,
2,,1688,,,,,0.004443153738975525
2,,1688,,,0.002389914123341441,,
,0.0001,1689,,,,,
3,,1699,,,,0.0017049878370016813,
3,,1749,,,,0.001933530205860734,
3,,1799,,,,0.0029305382631719112,
3,,1849,,,,0.0028470854740589857,
3,,1899,,,,0.001962624955922365,
3,,1949,,,,0.0019588503055274487,
3,,1999,,,,0.0020789916161447763,
3,,2049,,,,0.0019075312884524465,
3,,2099,,,,0.0009134336141869426,
3,,2149,,,,0.001812068047001958,
3,,2199,,,,0.0006917228456586599,
3,,2249,,,,0.0019521880894899368,
3,,2251,,,,,0.0016360576264560223
3,,2251,,,0.0018162591150030494,,
,0.0001,2252,,,,,
